"id","owner_id","reference_id","sensor_type","location_name","timezone","coordinate","created_at","deteted_at","licenses","data_source","provider"
6,1,3799,Small Sensor,โรงเรียนขุนยวมวิทยา,Asia/Bangkok,POINT (97.93999695256035 18.83658958412909),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
2,589038,2206,Small Sensor,สันโป่ง,Asia/Bangkok,POINT (98.9566944 18.9375111),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
11611373,1371573,2276,Small Sensor,AirGradient Demo Dashboard,Asia/Bangkok,POINT (98.6950831 18.900572),2025-09-02 07:36:01.779,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
14073,1370746,55264,Small Sensor,North-West University Vanderbijilpark Campus,Africa/Johannesburg,POINT (27.884772 -26.724689),2025-03-28 14:00:04.146,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
7,1,3800,Small Sensor,"Khunyuam Wittaya School 2, Khunyuam, Maehongson",Asia/Bangkok,POINT (97.93995071660461 18.837399394128656),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
74,588900,58339,Small Sensor,ดาดฟ้า,Asia/Bangkok,POINT (98.96445032014383 18.932618966437307),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
12,1,51432,Small Sensor,Bears' Cave,America/New_York,POINT (-89.3070117 48.3924669),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
71092,2,4257,Reference,BARRIO 630,Europe/Madrid,POINT (-4.111999999623238 38.70270000013368),2025-03-29 00:00:18.111,,{ODC-BY},OpenAQ,EEA
70176,2,2394,Reference,Aston Hill - UKA00137,Europe/London,POINT (-3.0341779996752303 52.50384999933775),2025-03-29 00:00:15.458,,{ODC-BY},OpenAQ,EEA
20,1,52567,Small Sensor,NARIT​-OPD,Asia/Bangkok,POINT (98.95834692689932 18.85275424506312),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
72460,2,2162175,Reference,Wildau,Europe/Berlin,POINT (13.621246000090599 52.32403299995439),2025-03-29 00:00:20.134,,{ODC-BY},OpenAQ,EEA
75,1370715,58340,Small Sensor,University Place,America/Los_Angeles,POINT (-122.557947 47.221889),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
79,1371520,58399,Small Sensor,"intERLab, Pathumthani, Thailand",Asia/Bangkok,POINT (100.61278750267229 14.077551603647665),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
11168076,2,2623613,Reference,상봉동,Asia/Seoul,POINT (128.074596 35.19589100000001),2025-07-30 00:00:40.895,,{},OpenAQ,Korea Air Ministry of Environment
11154735,1371811,58417,Small Sensor,merton-wi,America/Chicago,POINT (-88 43),2025-07-29 09:10:01.905,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
40,1,57957,Small Sensor,Eastmont,America/Los_Angeles,POINT (-122.18952073404915 47.911222239263985),2025-03-28 11:15:01.934,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
11168247,2,1214496,Reference,下呂市萩原町羽根２６０５－１,Asia/Tokyo,POINT (137.207222 35.884167),2025-07-30 00:00:43.779,,"{""政府標準利用規約（第2.0版） (Government Standard Terms of Use v2.0)""}",OpenAQ,Ministry of the Environment Air Pollutant Wide Area Monitoring System
271,1371565,66894,Small Sensor,Skyline - Chapman Rd,America/Los_Angeles,POINT (-122.262098 37.375473),2025-03-28 11:15:01.982,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
3477796,2,10522,Reference,"Włocławek, ul. Kaliska",Europe/Warsaw,POINT (19.04448599964402 52.63739400018205),2025-04-24 00:00:16.059,,{ODC-BY},OpenAQ,EEA
3477116,2,7275,Reference,"Konin, ul. Wyszyńskiego",Europe/Warsaw,POINT (18.268927000184274 52.22564999981674),2025-04-24 00:00:14.832,,{ODC-BY},OpenAQ,EEA
11168739,2,1214995,Reference,姫路市香寺町中屋１４,Asia/Tokyo,POINT (134.738056 34.910556),2025-07-30 00:00:46.390,,"{""政府標準利用規約（第2.0版） (Government Standard Terms of Use v2.0)""}",OpenAQ,Ministry of the Environment Air Pollutant Wide Area Monitoring System
11169992,2,3309328,Reference,Santa Anita,America/Mexico_City,POINT (-103.44725583333 20.551970277778),2025-07-30 00:00:50.437,,"{""Mexico SINAICA Terms and Conditions""}",OpenAQ,Sinaica Mexico
272,589052,66909,Small Sensor,Muang Soi Health Center,Asia/Bangkok,POINT (98.404624 19.395894),2025-03-28 11:15:01.982,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
273,589052,66910,Small Sensor,Mae Hi: Pittalew Art Gallery,Asia/Bangkok,POINT (98.453281 19.344769),2025-03-28 11:15:01.982,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
275,1371576,66926,Small Sensor,"Upwey, Victoria, Australia",Australia/Sydney,POINT (145.3299264923894 -37.90222670641819),2025-03-28 11:15:01.982,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
276,589052,66934,Small Sensor,Mae Khong Border Patrol,Asia/Bangkok,POINT (98.437128 19.385612),2025-03-28 11:15:01.982,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
1461,588932,62065,Small Sensor,"North Firebaugh, Fresno",America/Los_Angeles,POINT (-120.458998 36.87275),2025-03-28 11:30:01.913,,"{""CC BY-SA 4.0""}",AirGradient,AirGradient
69639,2,494923,Reference,Northern VA Near Roa,America/New_York,POINT (-77.18347 38.7684),2025-03-29 00:00:13.791,,"{""US Public Domain""}",OpenAQ,AirNow
72465,2,2162180,Reference,Berlin Karl-Marx-Straße II,Europe/Berlin,POINT (13.429670999629955 52.483810999822715),2025-03-29 00:00:20.134,,{ODC-BY},OpenAQ,EEA
73795,2,3006383,Reference,LAVAL-La Paix,Europe/Paris,POINT (-0.7670800000206227 48.071059999775585),2025-03-29 00:00:23.233,,{ODC-BY},OpenAQ,EEA
11167145,2,6311,Reference,Stuart,Australia/Brisbane,POINT (146.834 -19.3463),2025-07-30 00:00:32.401,,"{""CC BY-SA 4.0""}",OpenAQ,Australia - Queensland
11167144,2,6337,Reference,Clinton,Australia/Brisbane,POINT (151 -24),2025-07-30 00:00:32.401,,"{""CC BY-SA 4.0""}",OpenAQ,Australia - Queensland
11180023,1373315,5665,Reference,"Vasundhara, Ghaziabad - UPPCB",Asia/Kolkata,POINT (77.3572563 28.6603346),2025-07-31 00:00:35.693,,{},OpenAQ,CPCB
