"id","owner_name","url","created_at","reference_id"
1,airgradient,https://airgradient.com,2025-03-28 18:05:17.109,
588560,Spinks.Media,,2025-06-16 14:27:58.872,
588571,Laurent,,2025-06-16 14:27:58.872,
588576,EM,,2025-06-16 14:27:58.872,
1371716,,,2025-09-02 07:36:01.779,ag_8863
588586,Josa Wode,,2025-06-16 14:27:58.872,
1371607,,,2025-09-02 07:36:01.779,ag_6529
1371481,,,2025-09-02 07:36:01.779,ag_1929
588599,jicka,,2025-06-16 14:27:58.872,
588600,Altair Sheikh,,2025-06-16 14:27:58.872,
1371452,,,2025-09-02 07:36:01.779,ag_8465
588923,OakAir,,2025-06-16 14:27:58.872,ag_6354
1371663,,,2025-09-02 07:36:01.779,ag_11264
1371060,,,2025-09-02 07:36:01.779,ag_1878
588547,Igelkotten,,2025-06-16 14:27:58.872,ag_13400
588623,Hannah,,2025-06-16 14:27:58.872,
1371727,,,2025-09-02 07:36:01.779,ag_12229
1371632,,,2025-09-02 07:36:01.779,ag_3022
1378470,,,2025-09-07 00:00:01.687,ag_10648
1371559,,,2025-09-02 07:36:01.779,ag_4645
588570,,,2025-06-16 14:27:58.872,
2,Unknown Governmental Organization,,2025-03-29 00:00:05.339,oaq_4
1400432,Design Nature,,2025-09-21 00:00:01.675,ag_3150
588654,Overkill,,2025-06-16 14:27:58.872,
588658,Perves,,2025-06-16 14:27:58.872,
1373327,Mondelez India Foods,,2025-09-03 00:00:32.634,oaq_8544
1371293,,,2025-09-02 07:36:01.779,ag_11559
588660,Hehe,,2025-06-16 14:27:58.872,
588668,Athirne,,2025-06-16 14:27:58.872,
1371467,,,2025-09-02 07:36:01.779,ag_2235
588708,Bruno S.,,2025-06-16 14:27:58.872,
1370726,,,2025-09-02 07:36:01.779,ag_10839
588716,anonymous,,2025-06-16 14:27:58.872,
1371635,,,2025-09-02 07:36:01.779,ag_2919
1370930,,,2025-09-02 07:36:01.779,ag_2657
1370570,,,2025-09-02 07:36:01.779,ag_12478
1371555,,,2025-09-02 07:36:01.779,ag_2144
1370911,,,2025-09-02 07:36:01.779,ag_16206
1371496,,,2025-09-02 07:36:01.779,ag_6565
1371707,,,2025-09-02 07:36:01.779,ag_15281
588723,Graham,,2025-06-16 14:27:58.872,ag_16230
1335052,HacksawDoggo,,2025-08-31 00:00:01.826,ag_12522
1370897,AK,,2025-09-02 07:36:01.779,ag_7857
1370477,,,2025-09-02 07:36:01.779,ag_2020
1377516,Luke,,2025-09-06 00:00:01.653,ag_17521
588842,Samenmeten,,2025-06-16 14:27:58.872,ag_7468
1400682,,,2025-09-21 00:00:01.675,ag_2482
1402305,Ben,,2025-09-22 00:00:01.724,ag_17909
1370806,,,2025-09-02 07:36:01.779,ag_6130
913724,Thomas Versteeg,,2025-07-29 09:10:01.905,ag_589
1370473,Paul,,2025-09-02 07:36:01.779,ag_13328
1371089,Christian,,2025-09-02 07:36:01.779,ag_7803
588524,Singlepane,,2025-06-16 14:27:58.872,ag_15299
588794,Fredrik Sætereng Fyksen,,2025-06-16 14:27:58.872,ag_5999
1370879,,,2025-09-02 07:36:01.779,ag_10663
1373329,Central Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8517
1373345,Haryana State Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8529
1395518,OpenAQ admin,,2025-09-17 00:00:37.526,oaq_1
1373328,Bihar State Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8531
1373344,Punjab Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8526
1373334,Surat Municipal Corporation,,2025-09-03 00:00:32.634,oaq_8555
1373323,Puducherry Pollution Control Committee,,2025-09-03 00:00:32.634,oaq_8547
1373307,Telangana State Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8533
1373313,Odisha State Pollution Control Board,,2025-09-03 00:00:32.634,oaq_8522
1395521,Andhra Pradesh Pollution Control Board,,2025-09-17 00:00:37.526,oaq_8520
588724,Ashimet,,2025-06-16 14:27:58.872,
589026,octal,,2025-06-16 14:27:58.872,ag_10365
588739,Nikhil Ramkarran,,2025-06-16 14:27:58.872,ag_8690
588733,Pb,,2025-06-16 14:27:58.872,
1370828,Brett,,2025-09-02 07:36:01.779,ag_17105
1371678,Golian,,2025-09-02 07:36:01.779,ag_16611
588537,Central Philippine University ,https://cpu.edu.ph/,2025-06-16 14:27:58.872,ag_6378
